时间戳,经度,纬度,速度
11242.2,115.81423216666666,40.501909999999995,55.3960513218885
11242.4,115.8141825,40.501984,46.974662452027
11242.6,115.81411483333335,40.502032,33.03432686110091
11242.8,115.81407499999999,40.50207116666666,18.99825849663096
11243.0,115.81405483333334,40.50209516666666,12.492784417489728
11243.2,115.81403066666665,40.50209183333333,29.187043045177965
11243.4,115.81397416666665,40.50208416666667,23.23969438905295
11243.6,115.813929,40.502089500000004,21.863716673323996
11243.8,115.813886,40.502089166666664,24.467431274316755
11244.0,115.813838,40.502091666666665,28.305490416966606
11244.2,115.81378283333333,40.50209733333334,22.852225204010068
11244.4,115.81373816666668,40.502101,19.33809246017811
11244.6,115.81370016666666,40.502101833333334,18.04744948953207
11244.8,115.8136665,40.502110333333334,15.468700638592345
11245.0,115.81363699999999,40.502116,15.59514274407558
11245.2,115.81360683333332,40.50212016666667,16.42684917821108
11245.4,115.8135755,40.50212616666667,15.677996163612912
11245.6,115.81354533333334,40.502131,13.966963061090757
11245.8,115.81351850000001,40.5021355,14.923223681949027
11246.0,115.81349,40.502140833333335,16.759679110568438
11246.2,115.81345816666665,40.50214733333333,17.66648313155295
11246.4,115.81342449999998,40.50215383333333,16.4071454062872
11246.6,115.81339316666666,40.502159666666664,16.769029046159496
11246.8,115.8133615,40.50216666666667,16.951881740418454
11247.0,115.81332966666666,40.50217416666667,16.720356413710004
11247.2,115.81329816666667,40.50218133333333,16.584134279514686
11247.4,115.81326666666668,40.50218783333333,16.50491008656753
11247.6,115.81323566666667,40.50219516666667,16.778347967481444
11247.8,115.81320416666668,40.50220266666667,16.593333723533522
11248.0,115.813173,40.50221,16.406476646814173
11248.2,115.813142,40.502216833333335,17.471322306505176
11248.4,115.81310916666668,40.502224500000004,17.161068616513955
11248.6,115.81307716666667,40.50223266666667,17.59108342104519
11248.8,115.8130445,40.50224133333334,17.7015080161172
11249.0,115.81301166666665,40.50225016666666,17.61864691395323
11249.2,115.812979,40.502259,17.40566264294713
11249.4,115.8129465,40.50226716666667,17.956853075886805
11249.6,115.81291316666666,40.502276,18.002209619032797
11249.8,115.81287966666666,40.50228466666667,17.911663768545104
11250.0,115.81284633333334,40.502293333333334,17.775521623538975
11250.2,115.812813,40.502301333333335,17.993175540756404
11250.4,115.8127795,40.50231,18.57929938149581
11250.6,115.81274516666666,40.5023195,18.173273983287036
11250.8,115.81271116666667,40.50232783333333,18.047449512623178
11251.0,115.8126775,40.50233633333333,18.199961065364565
11251.2,115.81264350000001,40.50234483333334,18.173273985756975
11251.4,115.8126095,40.502353166666666,18.368916738373798
11251.6,115.81257516666668,40.502361666666665,18.298230641997424
11251.8,115.81254083333333,40.50236983333333,18.562759424456054
11252.0,115.812506,40.50237816666667,18.22725986728583
11252.2,115.81247166666665,40.502386,18.10206851329056
11252.4,115.8124375,40.50239366666666,18.38712420277373
11252.6,115.81240283333334,40.5024015,18.387124203427625
11252.8,115.81236816666666,40.50240933333334,18.13783752478992
11253.0,115.812334,40.50241716666667,18.56313661847386
11253.2,115.81229900000001,40.502425,18.66782505471624
11253.4,115.81226383333333,40.502432999999996,18.227620248563117
11253.6,115.81222933333332,40.50244033333333,18.422337145619068
11253.8,115.81219466666668,40.502448333333334,18.56313662111352
11254.0,115.81215966666666,40.50245616666667,18.89304316366235
11254.2,115.81212400000001,40.502464,18.961765789408993
11254.4,115.81208816666667,40.50247183333333,18.703105157588944
11254.6,115.81205266666666,40.50247916666667,18.85870659807725
11254.8,115.81201700000001,40.502486833333336,18.789837543104614
11255.0,115.81198133333334,40.502494166666665,18.84145546754107
11255.2,115.81194566666666,40.50250183333333,19.01326244439913
11255.4,115.81190966666666,40.502509499999995,19.06461747316579
11255.6,115.8118735,40.502517,18.979140842052164
11255.8,115.8118375,40.5025245,19.115832020114546
11256.0,115.81180116666668,40.502531833333336,18.979140843179437
11256.2,115.81176516666667,40.50253933333333,18.815999256173033
11256.4,115.81172933333333,40.502546333333335,18.790164092543545
11256.6,115.8116935,40.502553166666665,19.175388321818154
11256.8,115.81165700000001,40.502560333333335,19.18386568301214
11257.0,115.81162049999999,40.502567500000005,19.3019384015843
11257.2,115.81158383333334,40.502575,19.36092471193343
11257.4,115.811547,40.50258233333333,19.08188879036913
11257.6,115.81151066666668,40.5025895,19.385991809623235
11257.8,115.81147383333334,40.502597,19.00536228690985
11258.0,115.81143750000001,40.502603666666666,19.13305207732898
11258.2,115.81140099999999,40.50261066666667,19.444385319956133
